date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:44:29	68/68	---M--	200	added ('OK')	text/plain	date:Sun,%2015%20Jan%202017%2000:44:29%20GMT	http://ciliegia.local/robots.txt		(from )
01:44:29	155589/155589	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202017%2000:44:29%20GMT	http://ciliegia.local/	/var/www/scritture-static/ciliegia.local/index.html	(from )
01:44:30	43/43	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2015%20Jan%202017%2000:44:29%20GMT	http://ciliegia.local/xmlrpc.php	/var/www/scritture-static/ciliegia.local/xmlrpc.php	(from http://ciliegia.local/)
01:44:30	44608/44608	---M-Z	200	added ('OK')	text/css	etag:%22ae40-5392ce97a3d80-gzip%22	http://ciliegia.local/wp-content/themes/mh-magazine-lite/style.css?ver=4.5.5	/var/www/scritture-static/ciliegia.local/wp-content/themes/mh-magazine-lite/style2cb6.css	(from http://ciliegia.local/)
01:44:30	845/845	---M-Z	200	added ('OK')	text/css	etag:%2234d-53a5a6942b3c0-gzip%22	http://ciliegia.local/wp-content/themes/scritture/style.css?ver=2.3.7	/var/www/scritture-static/ciliegia.local/wp-content/themes/scritture/stylec0b8.css	(from http://ciliegia.local/)
01:44:30	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-5379abb743640-gzip%22	http://ciliegia.local/wp-content/themes/mh-magazine-lite/includes/font-awesome.min.css	/var/www/scritture-static/ciliegia.local/wp-content/themes/mh-magazine-lite/includes/font-awesome.min.css	(from http://ciliegia.local/)
01:44:30	1323/1323	---M-Z	200	added ('OK')	text/css	etag:%2252b-53a40fe0aec80-gzip%22	http://ciliegia.local/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.12	/var/www/scritture-static/ciliegia.local/wp-content/plugins/add-to-any/addtoany.min2f3e.css	(from http://ciliegia.local/)
01:44:31	135/135	---M-Z	200	added ('OK')	application/javascript	etag:%2287-53a40fe0aec80-gzip%22	http://ciliegia.local/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.0	/var/www/scritture-static/ciliegia.local/wp-content/plugins/add-to-any/addtoany.min5152.js	(from http://ciliegia.local/)
01:44:31	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5343695e144c0-gzip%22	http://ciliegia.local/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/var/www/scritture-static/ciliegia.local/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://ciliegia.local/)
01:44:31	819/819	---M-Z	200	added ('OK')	text/xml	date:Sun,%2015%20Jan%202017%2000:44:31%20GMT	http://ciliegia.local/xmlrpc.php?rsd	/var/www/scritture-static/ciliegia.local/xmlrpc0db0.php	(from http://ciliegia.local/)
01:44:32	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://ciliegia.local/wp-includes/wlwmanifest.xml	/var/www/scritture-static/ciliegia.local/wp-includes/wlwmanifest.xml	(from http://ciliegia.local/)
01:44:32	2187/2187	---M--	200	added ('OK')	application/json	date:Sun,%2015%20Jan%202017%2000:44:32%20GMT	http://ciliegia.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fciliegia.local%2F	/var/www/scritture-static/ciliegia.local/wp-json/oembed/1.0/embed05b8.json	(from http://ciliegia.local/)
